Province,Count
Anhui,0.921998247
Beijing,3.993333333
Chongqing,1.113175676
Fujian,1.212271973
Gansu,0.696540881
Guangdong,0.763392857
Guangxi,0.743764172
Guizhou,0.482163406
Hainan,0.988505747
Hebei,1.095149254
Heilongjiang,1.240069085
Henan,0.795085995
Hubei,1.536216216
Hunan,1.120040692
Inner Mongolia,0.97080292
Jiangsu,1.529518619
Jiangxi,0.994232987
Jilin,1.511335013
Liaoning,1.566343042
Ningxia,0.727272727
Qinghai,0.520408163
Shaanxi,1.392764858
Shandong,1.089102564
Shanghai,3.43537415
Shanxi,0.81763285
Sichuan,0.840608466
Tianjin,3.475177305
Tibet,0.586206897
Xinjiang,0.616407982
Yunnan,0.65748503
Zhejiang,1.227621483
