Province,Count
Anhui,5710.00
Beijing,15610.00
Chongqing,8350.00
Fujian,10440.00
Gansu,4360.00
Guangdong,9880.00
Guangxi,5480.00
Guizhou,4420.00
Hainan,6340.00
Hebei,6440.00
Heilongjiang,6370.00
Henan,6020.00
Hubei,8030.00
Hunan,6640.00
Inner Mongol,11690.00
Jiangsu,13160.00
Jiangxi,5580.00
Jilin,8270.00
Liaoning,10700.00
Ningxia,6830.00
Qinghai,6360.00
Shaanxi,7640.00
Shandong,9990.00
Shanghai,14990.00
Shanxi,5710.00
Sichuan,5940.00
Tianjin,18030.00
Xizang,4760.00
Xinjiang,6350.00
Yunnan,4440.00
Zhejiang,11430.00
