Code,geography,Currency,year,gdppercap
CNAH,China: Anhui,USD,1996,426.1
CNAH,China: Anhui,USD,1997,476.7
CNAH,China: Anhui,USD,1998,514.7
CNAH,China: Anhui,USD,1999,547
CNAH,China: Anhui,USD,2000,583.4
CNAH,China: Anhui,USD,2001,650.9
CNAH,China: Anhui,USD,2002,707.3
CNAH,China: Anhui,USD,2003,790.1
CNAH,China: Anhui,USD,2004,960.3
CNAH,China: Anhui,USD,2005,1097.3
CNAH,China: Anhui,USD,2006,1288.2
CNAH,China: Anhui,USD,2007,1623.5
CNAH,China: Anhui,USD,2008,2138.1
CNAH,China: Anhui,USD,2009,2473.6
CNAH,China: Anhui,USD,2010,3064.4
CNAH,China: Anhui,USD,2011,3980.8
CNAH,China: Anhui,USD,2012,4586.1
CNAH,China: Anhui,USD,2013,5169
CNAH,China: Anhui,USD,2014,5710
CNAH,China: Anhui,USD,2015,6250
CNAH,China: Anhui,USD,2016,6850
CNAH,China: Anhui,USD,2017,7390
CNAH,China: Anhui,USD,2018,7920
CNAH,China: Anhui,USD,2019,8430
CNAH,China: Anhui,USD,2020,9490
CNBJ,China: Beijing,USD,1996,1713.6
CNBJ,China: Beijing,USD,1997,1945
CNBJ,China: Beijing,USD,1998,2175.8
CNBJ,China: Beijing,USD,1999,2394.8
CNBJ,China: Beijing,USD,2000,2763.1
CNBJ,China: Beijing,USD,2001,3141
CNBJ,China: Beijing,USD,2002,3541.3
CNBJ,China: Beijing,USD,2003,3967.4
CNBJ,China: Beijing,USD,2004,4620.5
CNBJ,China: Beijing,USD,2005,5118.6
CNBJ,China: Beijing,USD,2006,5795.1
CNBJ,China: Beijing,USD,2007,6972.7
CNBJ,China: Beijing,USD,2008,8751.5
CNBJ,China: Beijing,USD,2009,9388.6
CNBJ,China: Beijing,USD,2010,10616.5
CNBJ,China: Beijing,USD,2011,12379.2
CNBJ,China: Beijing,USD,2012,13495.6
CNBJ,China: Beijing,USD,2013,14548.2
CNBJ,China: Beijing,USD,2014,15610
CNBJ,China: Beijing,USD,2015,16550
CNBJ,China: Beijing,USD,2016,17690
CNBJ,China: Beijing,USD,2017,18650
CNBJ,China: Beijing,USD,2018,19610
CNBJ,China: Beijing,USD,2019,20570
CNBJ,China: Beijing,USD,2020,22650
CNCQ,China: Chongqing,USD,1996,
CNCQ,China: Chongqing,USD,1997,585.2
CNCQ,China: Chongqing,USD,1998,593.2
CNCQ,China: Chongqing,USD,1999,593.6
CNCQ,China: Chongqing,USD,2000,623.2
CNCQ,China: Chongqing,USD,2001,690.5
CNCQ,China: Chongqing,USD,2002,783.8
CNCQ,China: Chongqing,USD,2003,901.8
CNCQ,China: Chongqing,USD,2004,1076.6
CNCQ,China: Chongqing,USD,2005,1249.7
CNCQ,China: Chongqing,USD,2006,1455.8
CNCQ,China: Chongqing,USD,2007,1836.9
CNCQ,China: Chongqing,USD,2008,2847.3
CNCQ,China: Chongqing,USD,2009,3287.4
CNCQ,China: Chongqing,USD,2010,4053.4
CNCQ,China: Chongqing,USD,2011,5426.7
CNCQ,China: Chongqing,USD,2012,6389.8
CNCQ,China: Chongqing,USD,2013,7283.2
CNCQ,China: Chongqing,USD,2014,8350
CNCQ,China: Chongqing,USD,2015,9330
CNCQ,China: Chongqing,USD,2016,10460
CNCQ,China: Chongqing,USD,2017,11530
CNCQ,China: Chongqing,USD,2018,12600
CNCQ,China: Chongqing,USD,2019,13650
CNCQ,China: Chongqing,USD,2020,15480
CNFJ,China: Fujian,USD,1996,906.7
CNFJ,China: Fujian,USD,1997,1036.5
CNFJ,China: Fujian,USD,1998,1127.2
CNFJ,China: Fujian,USD,1999,1202.5
CNFJ,China: Fujian,USD,2000,1309.5
CNFJ,China: Fujian,USD,2001,1403.1
CNFJ,China: Fujian,USD,2002,1529.2
CNFJ,China: Fujian,USD,2003,1695
CNFJ,China: Fujian,USD,2004,1948
CNFJ,China: Fujian,USD,2005,2229.2
CNFJ,China: Fujian,USD,2006,2629.9
CNFJ,China: Fujian,USD,2007,3342.6
CNFJ,China: Fujian,USD,2008,4259.6
CNFJ,China: Fujian,USD,2009,4873.8
CNFJ,China: Fujian,USD,2010,5892.9
CNFJ,China: Fujian,USD,2011,7331.7
CNFJ,China: Fujian,USD,2012,8386
CNFJ,China: Fujian,USD,2013,9397.4
CNFJ,China: Fujian,USD,2014,10440
CNFJ,China: Fujian,USD,2015,11450
CNFJ,China: Fujian,USD,2016,12590
CNFJ,China: Fujian,USD,2017,13600
CNFJ,China: Fujian,USD,2018,14570
CNFJ,China: Fujian,USD,2019,15520
CNFJ,China: Fujian,USD,2020,17400
CNGS,China: Gansu,USD,1996,358.3
CNGS,China: Gansu,USD,1997,389.5
CNGS,China: Gansu,USD,1998,430.6
CNGS,China: Gansu,USD,1999,457.7
CNGS,China: Gansu,USD,2000,497.1
CNGS,China: Gansu,USD,2001,528.4
CNGS,China: Gansu,USD,2002,578.3
CNGS,China: Gansu,USD,2003,657.2
CNGS,China: Gansu,USD,2004,793
CNGS,China: Gansu,USD,2005,917.8
CNGS,China: Gansu,USD,2006,1111.4
CNGS,China: Gansu,USD,2007,1384.2
CNGS,China: Gansu,USD,2008,1776.5
CNGS,China: Gansu,USD,2009,1935.3
CNGS,China: Gansu,USD,2010,2377
CNGS,China: Gansu,USD,2011,3041.7
CNGS,China: Gansu,USD,2012,3507.8
CNGS,China: Gansu,USD,2013,3966.6
CNGS,China: Gansu,USD,2014,4360
CNGS,China: Gansu,USD,2015,4780
CNGS,China: Gansu,USD,2016,5290
CNGS,China: Gansu,USD,2017,5800
CNGS,China: Gansu,USD,2018,6320
CNGS,China: Gansu,USD,2019,6890
CNGS,China: Gansu,USD,2020,7780
CNGD,China: Guangdong,USD,1996,1133.8
CNGD,China: Guangdong,USD,1997,1245
