"rank","country","country_gdp_pc","diff","province","province_gpd_pc"
1,"Palau",11880,190,"Inner Mongolia",11690
2,"Panama",11949,259,"Inner Mongolia",11690
3,"Brazil",11385,305,"Inner Mongolia",11690
4,"Kazakhstan",12276,586,"Inner Mongolia",11690
5,"Malaysia",10933,757,"Inner Mongolia",11690
1,"Palau",11880,190,"Inner Mongolia",11690
2,"Panama",11949,259,"Inner Mongolia",11690
3,"Brazil",11385,305,"Inner Mongolia",11690
4,"Kazakhstan",12276,586,"Inner Mongolia",11690
5,"Malaysia",10933,757,"Inner Mongolia",11690
