"rank","country","country_gdp_pc","diff","province","province_gpd_pc"
1,"Croatia",13507,347,"Jiangsu",13160
2,"Russian Federation",12736,424,"Jiangsu",13160
3,"Argentina",12569,591,"Jiangsu",13160
4,"Hungary",13903,743,"Jiangsu",13160
5,"Antigua and Barbuda",13962,802,"Jiangsu",13160
1,"Croatia",13507,347,"Jiangsu",13160
2,"Russian Federation",12736,424,"Jiangsu",13160
3,"Argentina",12569,591,"Jiangsu",13160
4,"Hungary",13903,743,"Jiangsu",13160
5,"Antigua and Barbuda",13962,802,"Jiangsu",13160
