year,world_median,Liaoning,Closet_country
1996,7.363010234,3.6,4.099999905
1997,7.350000143,3.7,4.199999809
1998,7.516400902,3.4,4.199999809
1999,7.450000048,3.5,3.700000048
2000,7.344328646,3.7,3.5
2001,7.450000048,3.2,3.599999905
2002,7.662185364,6.5,4
2003,7.800000191,6.5,4.300000191
2004,7.599999905,6.5,4.900000095
2005,7.300000191,5.62,5.199999809
2006,7.099999905,5.1,4.699999809
2007,6.800000191,4.4,4.400000095
2008,6.520849888,3.8,3.799999952
2009,7.401517971,3.9,4.800000191
2010,7.300000191,3.7,4.400000095
2011,7.099999905,3.68,4.099999905
2012,7,3.6,4.300000191
2013,7.099999905,3.35,4.900000095
